Method,Retrospective,Dataset,Accuracy,Recall,Precision,F-Score
Naive Bayes,10,Train,0.5355427473583093,0.7297029702970297,0.5150244584206848,0.6038508807865629
Naive Bayes,10,Test,0.4952015355086372,0.6929133858267716,0.48753462603878117,0.5723577235772358
Decision Tree,10,Train,0.8165225744476465,0.9316831683168317,0.7503987240829346,0.8312720848056537
Decision Tree,10,Test,0.6871401151631478,0.8543307086614174,0.6326530612244898,0.7269681742043551
Logistic Regression,10,Train,0.5782901056676273,0.497029702970297,0.5756880733944955,0.5334750265674814
Logistic Regression,10,Test,0.54510556621881,0.452755905511811,0.539906103286385,0.4925053533190578
Random Forest,10,Train,0.8414985590778098,0.8415841584158416,0.8333333333333334,0.8374384236453202
Random Forest,10,Test,0.6928982725527831,0.7007874015748031,0.6793893129770993,0.689922480620155
K-Nearest Neighbors,10,Train,0.8693563880883766,0.8564356435643564,0.8719758064516129,0.8641358641358642
K-Nearest Neighbors,10,Test,0.7024952015355086,0.6771653543307087,0.7020408163265306,0.6893787575150301
Neural Network,10,Train,0.7632084534101825,0.7772277227722773,0.7454890788224121,0.7610276296655356
Neural Network,10,Test,0.6449136276391555,0.6535433070866141,0.6311787072243346,0.6421663442940039
Naive Bayes,20,Train,0.5341346153846154,0.864326375711575,0.5244674726540012,0.6528126119670369
Naive Bayes,20,Test,0.5076923076923077,0.8725868725868726,0.5033407572383074,0.6384180790960452
Decision Tree,20,Train,0.7855769230769231,0.9411764705882353,0.7209302325581395,0.8164609053497942
Decision Tree,20,Test,0.6788461538461539,0.8571428571428571,0.6306818181818182,0.7266775777414075
Logistic Regression,20,Train,0.5552884615384616,0.6062618595825426,0.556135770234987,0.5801180208806174
Logistic Regression,20,Test,0.5461538461538461,0.6177606177606177,0.5387205387205387,0.5755395683453237
Random Forest,20,Train,0.8370192307692308,0.9392789373814042,0.782608695652174,0.8538163001293662
Random Forest,20,Test,0.7673076923076924,0.918918918918919,0.7041420118343196,0.7973199329983249
K-Nearest Neighbors,20,Train,0.8870192307692307,0.8918406072106262,0.885956644674835,0.8888888888888888
K-Nearest Neighbors,20,Test,0.7442307692307693,0.7413127413127413,0.7441860465116279,0.7427466150870407
Neural Network,20,Train,0.7759615384615385,0.7675521821631879,0.7854368932038835,0.7763915547024952
Neural Network,20,Test,0.6538461538461539,0.6177606177606177,0.6639004149377593,0.64
Naive Bayes,30,Train,0.5371621621621622,0.8489278752436648,0.52,0.6449463161791928
Naive Bayes,30,Test,0.525096525096525,0.8527131782945736,0.514018691588785,0.641399416909621
Decision Tree,30,Train,0.8185328185328186,0.8489278752436648,0.7976190476190477,0.8224740321057602
Decision Tree,30,Test,0.722007722007722,0.7635658914728682,0.7035714285714286,0.7323420074349443
Logistic Regression,30,Train,0.5796332046332047,0.5584795321637427,0.5782038345105953,0.5681705503222608
Logistic Regression,30,Test,0.5328185328185329,0.5232558139534884,0.531496062992126,0.52734375
Random Forest,30,Train,0.875,0.9346978557504874,0.8331885317115552,0.8810289389067524
Random Forest,30,Test,0.7741312741312741,0.8449612403100775,0.7389830508474576,0.7884267631103075
K-Nearest Neighbors,30,Train,0.8807915057915058,0.8840155945419104,0.8763285024154589,0.8801552644347405
K-Nearest Neighbors,30,Test,0.749034749034749,0.7131782945736435,0.7666666666666667,0.7389558232931727
Neural Network,30,Train,0.8074324324324325,0.8489278752436648,0.7811659192825112,0.8136384866884633
Neural Network,30,Test,0.6872586872586872,0.7558139534883721,0.6632653061224489,0.7065217391304348
Naive Bayes,40,Train,0.541324311261479,0.8676893576222435,0.5273892773892774,0.6560347952156579
Naive Bayes,40,Test,0.5212355212355212,0.84765625,0.5093896713615024,0.6363636363636364
Decision Tree,40,Train,0.8119864668922184,0.9491850431447747,0.746606334841629,0.8357956943858168
Decision Tree,40,Test,0.7355212355212355,0.86328125,0.6842105263157895,0.7633851468048359
Logistic Regression,40,Train,0.5853069115514742,0.6040268456375839,0.586046511627907,0.5949008498583569
Logistic Regression,40,Test,0.5675675675675675,0.5546875,0.5634920634920635,0.5590551181102362
