Retrospective,Naive Bayes Train,Naive Bayes Test,Decision Tree Train,Decision Tree Test,Logistic Regression Train,Logistic Regression Test,Random Forest Train,Random Forest Test,K-Nearest Neighbors Train,K-Nearest Neighbors Test,Neural Network Train,Neural Network Test
10,0.5355427473583093,0.4952015355086372,0.8165225744476465,0.6871401151631478,0.5782901056676273,0.54510556621881,0.8414985590778098,0.6928982725527831,0.8693563880883766,0.7024952015355086,0.7632084534101825,0.6449136276391555
20,0.5341346153846154,0.5076923076923077,0.7855769230769231,0.6788461538461539,0.5552884615384616,0.5461538461538461,0.8370192307692308,0.7673076923076924,0.8870192307692307,0.7442307692307693,0.7759615384615385,0.6538461538461539
30,0.5371621621621622,0.525096525096525,0.8185328185328186,0.722007722007722,0.5796332046332047,0.5328185328185329,0.875,0.7741312741312741,0.8807915057915058,0.749034749034749,0.8074324324324325,0.6872586872586872
40,0.541324311261479,0.5212355212355212,0.8119864668922184,0.7355212355212355,0.5853069115514742,0.5675675675675675,0.8622522957950701,0.7644787644787645,0.88835186080232,0.7258687258687259,0.80521991300145,0.7297297297297297
50,0.5494186046511628,0.5310077519379846,0.8590116279069767,0.7655038759689923,0.5920542635658915,0.5736434108527132,0.8536821705426356,0.7829457364341085,0.9040697674418605,0.7131782945736435,0.8018410852713178,0.6821705426356589
60,0.5390966488586693,0.5495145631067961,0.8494414764448761,0.7650485436893204,0.5988343856240894,0.5611650485436893,0.8416707139388052,0.7728155339805826,0.9033511413307431,0.7786407766990291,0.8363283147158815,0.7087378640776699
70,0.5604662457503643,0.570873786407767,0.8858669256920836,0.7980582524271844,0.5798931520155415,0.5883495145631068,0.8212724623603691,0.7766990291262136,0.9169499757163672,0.7747572815533981,0.868382710053424,0.7922330097087379
80,0.5409356725146199,0.5486381322957199,0.8508771929824561,0.7801556420233463,0.5891812865497076,0.5778210116731517,0.8352826510721247,0.7937743190661478,0.9117933723196882,0.7879377431906615,0.8596491228070176,0.8132295719844358
90,0.5571847507331378,0.55078125,0.8543499511241447,0.734375,0.5894428152492669,0.56640625,0.8597262952101662,0.783203125,0.9051808406647116,0.7734375,0.8641251221896383,0.78515625
100,0.5628066732090284,0.5333333333333333,0.8758586849852796,0.7647058823529411,0.584396467124632,0.5901960784313726,0.8282630029440629,0.7627450980392156,0.8935230618253189,0.792156862745098,0.8611383709519136,0.7862745098039216
110,0.5555009823182712,0.5638506876227898,0.93762278978389,0.8271119842829077,0.5923379174852652,0.5717092337917485,0.8791748526522594,0.8447937131630648,0.9150294695481336,0.7721021611001965,0.8511787819253438,0.7721021611001965
120,0.568058968058968,0.5658153241650294,0.8496314496314497,0.7956777996070727,0.5980343980343981,0.5795677799607073,0.8496314496314497,0.793713163064833,0.914987714987715,0.7603143418467584,0.8417690417690418,0.8113948919449901
130,0.6010821446138711,0.618860510805501,0.8740777176586325,0.8133595284872298,0.6237088047220856,0.6463654223968566,0.836694540088539,0.793713163064833,0.911460895228726,0.7976424361493124,0.8726020659124447,0.8153241650294696
140,0.5970443349753695,0.6003937007874016,0.8536945812807881,0.7677165354330708,0.6285714285714286,0.6023622047244095,0.8788177339901477,0.8248031496062992,0.9133004926108375,0.7913385826771654,0.8679802955665025,0.7755905511811023
150,0.6101778656126482,0.6134122287968442,0.9412055335968379,0.873767258382643,0.633399209486166,0.6390532544378699,0.9392292490118577,0.9013806706114399,0.9204545454545454,0.7909270216962525,0.8898221343873518,0.8284023668639053
160,0.6162617749132375,0.596039603960396,0.9251363411006446,0.8811881188118812,0.652949925632127,0.6316831683168317,0.9335647000495786,0.8712871287128713,0.9295984134853743,0.8158415841584158,0.8780366881507189,0.8277227722772277
170,0.6159203980099502,0.6063618290258449,0.900497512437811,0.8946322067594433,0.6417910447761194,0.6341948310139165,0.9139303482587064,0.8926441351888668,0.9273631840796019,0.8170974155069582,0.882587064676617,0.8349900596421471
180,0.633648581383773,0.6341948310139165,0.9591836734693877,0.9145129224652088,0.655550024888004,0.6560636182902585,0.9273270283723245,0.882703777335984,0.9263315082130413,0.7952286282306164,0.8810353409656545,0.8151093439363817
190,0.6318681318681318,0.6227544910179641,0.9835164835164835,0.908183632734531,0.6693306693306693,0.6646706586826348,0.9315684315684316,0.8802395209580839,0.929070929070929,0.8043912175648703,0.8951048951048951,0.8243512974051896
200,0.6409614421632449,0.656,0.9604406609914873,0.882,0.658487731597396,0.662,0.9168753129694541,0.858,0.928392588883325,0.806,0.8863294942413621,0.804
210,0.658487731597396,0.674,0.9083625438157236,0.882,0.6695042563845769,0.672,0.8743114672008012,0.83,0.9364046069103655,0.786,0.9028542814221332,0.798
220,0.6576305220883534,0.6332665330661322,0.8514056224899599,0.8056112224448898,0.6596385542168675,0.6492985971943888,0.8393574297188755,0.7855711422845691,0.9312248995983936,0.7955911823647295,0.8975903614457831,0.8557114228456913
230,0.649546827794562,0.6619718309859155,0.8408862034239678,0.7987927565392354,0.6737160120845922,0.6881287726358148,0.8479355488418933,0.8048289738430584,0.9340382678751259,0.8430583501006036,0.9093655589123867,0.869215291750503
